Year of User Created On	Campaign	Year of User Created On	Device Type	Attribution Created On	Created On	Date	Device Created On	Device Id	Item Id	Name	Operating System	Sale Id	User Created On	Weekday (group)	Amount	Max Of Weekday	Min of Weekday	Number of Records	Weekday
2015	D8IC8B	2015	iOS	20-12-15 8:35	17-04-16 6:55	17-Apr-16	20-12-15 8:35	1586	91	klllewv	iOS 8	4612	20-12-15 9:53	Saturday	1044.652344	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	05-07-15 4:36	05-Jul-15	26-03-15 9:25	177	94	jdayvwr	iOS 8	1357	26-03-15 10:10	Saturday	452.0562533	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	05-07-15 4:36	05-Jul-15	26-03-15 9:25	177	98	jdayvwr	iOS 8	1357	26-03-15 10:10	Saturday	452.0562533	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	05-07-15 4:36	05-Jul-15	26-03-15 9:25	177	101	jdayvwr	iOS 8	1357	26-03-15 10:10	Saturday	452.0562533	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	05-07-15 4:36	05-Jul-15	26-03-15 9:25	177	103	jdayvwr	iOS 8	1357	26-03-15 10:10	Saturday	452.0562533	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	05-07-15 4:36	05-Jul-15	26-03-15 9:25	177	103	jdayvwr	iOS 8	1357	26-03-15 10:10	Saturday	452.0562533	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	06-11-16 0:24	06-Nov-16	20-12-15 8:35	1586	103	klllewv	iOS 8	9702	20-12-15 9:53	Saturday	1101.742014	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	17-04-16 6:55	17-Apr-16	20-12-15 8:35	1586	105	klllewv	iOS 8	4612	20-12-15 9:53	Saturday	1044.652344	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	05-07-15 4:36	05-Jul-15	26-03-15 9:25	177	131	jdayvwr	iOS 8	1357	26-03-15 10:10	Saturday	452.0562533	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	17-04-16 6:55	17-Apr-16	20-12-15 8:35	1586	139	klllewv	iOS 8	4612	20-12-15 9:53	Saturday	1044.652344	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	05-07-15 4:36	05-Jul-15	26-03-15 9:25	177	151	jdayvwr	iOS 8	1357	26-03-15 10:10	Saturday	452.0562533	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	27-12-15 4:59	27-Dec-15	20-12-15 8:35	1586	151	klllewv	iOS 8	2889	20-12-15 9:53	Saturday	1065.357994	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	18-09-16 7:24	18-Sep-16	26-03-15 9:25	177	160	jdayvwr	iOS 8	8216	26-03-15 10:10	Saturday	490.281297	6	6	1	6
2015	D8IC8B	2015	iOS	26-03-15 9:25	05-07-15 4:36	05-Jul-15	26-03-15 9:25	177	163	jdayvwr	iOS 8	1357	26-03-15 10:10	Saturday	452.0562533	6	6	1	6
2015	D8IC8B	2015	iOS	20-12-15 8:35	20-03-16 0:29	20-Mar-16	20-12-15 8:35	1586	165	klllewv	iOS 8	4114	20-12-15 9:53	Saturday	1057.446313	6	6	1	6
2014	FE91LN	2014	iOS	29-04-16 22:52	11-05-14 6:52	11-May-14	29-04-14 16:26	290	61	mfzipkb	iOS 8	87	29-04-14 18:38	Saturday	466.0760416	6	6	1	6
2014	FE91LN	2014	iOS	29-04-16 22:52	21-12-14 11:39	21-Dec-14	29-04-14 16:26	290	98	mfzipkb	iOS 8	461	29-04-14 18:38	Saturday	521.8436417	6	6	1	6
2014	FE91LN	2014	iOS	29-04-16 22:52	11-05-14 6:52	11-May-14	29-04-14 16:26	290	106	mfzipkb	iOS 8	87	29-04-14 18:38	Saturday	466.0760416	6	6	1	6
2014	FE91LN	2014	iOS	29-04-16 22:52	11-05-14 6:52	11-May-14	29-04-14 16:26	290	112	mfzipkb	iOS 8	87	29-04-14 18:38	Saturday	466.0760416	6	6	1	6
2014	FE91LN	2014	iOS	29-04-16 22:52	14-06-15 10:56	14-Jun-15	29-04-14 16:26	290	179	mfzipkb	iOS 8	1214	29-04-14 18:38	Saturday	464.1960288	6	6	1	6
2014	FE91LN	2014	iOS	29-04-16 22:52	04-12-16 13:16	04-Dec-16	29-04-14 16:26	290	181	mfzipkb	iOS 8	10669	29-04-14 18:38	Saturday	518.1189321	6	6	1	6
2014	FE91LN	2014	iOS	29-04-16 22:52	14-06-15 10:56	14-Jun-15	29-04-14 16:26	290	194	mfzipkb	iOS 8	1214	29-04-14 18:38	Saturday	464.1960288	6	6	1	6
2014	FE91LN	2014	iOS	29-04-16 22:52	04-12-16 13:16	04-Dec-16	29-04-14 16:26	290	196	mfzipkb	iOS 8	10669	29-04-14 18:38	Saturday	518.1189321	6	6	1	6
2016	GCP82I	2016	iOS	29-08-16 6:44	25-12-16 3:35	25-Dec-16	29-08-16 6:45	2379	169	tprgdvu	iOS 8	11457	29-08-16 12:20	Saturday	80.32006187	6	6	1	6
2016	HLWXVF	2016	iOS	28-04-16 3:50	06-11-16 4:13	06-Nov-16	08-02-16 19:13	1870	189	fdbvrdr	iOS 8	9703	08-02-16 23:25	Saturday	503.6166095	6	6	1	6
2015	OXIJAT	2015	iOS	06-09-14 15:09	01-01-17 11:24	01-Jan-17	29-11-15 3:32	3091	94	ymrslwl	iOS 8	11745	29-11-15 10:50	Saturday	648.5616958	6	6	1	6
2015	OXIJAT	2015	iOS	06-09-14 15:09	28-02-16 0:02	28-Feb-16	29-11-15 3:32	3091	153	ymrslwl	iOS 8	3795	29-11-15 10:50	Saturday	575.984094	6	6	1	6
2015	OXIJAT	2015	iOS	06-09-14 15:09	28-02-16 0:02	28-Feb-16	29-11-15 3:32	3091	161	ymrslwl	iOS 8	3795	29-11-15 10:50	Saturday	575.984094	6	6	1	6
2015	OXIJAT	2015	iOS	06-09-14 15:09	28-02-16 0:02	28-Feb-16	29-11-15 3:32	3091	174	ymrslwl	iOS 8	3795	29-11-15 10:50	Saturday	575.984094	6	6	1	6
2016	QY02HA	2016	iOS	03-12-16 19:09	01-01-17 14:06	01-Jan-17	03-12-16 19:09	660	28	jimafun	iOS 8	11723	03-12-16 20:23	Saturday	216.6445553	6	6	1	6
2016	QY02HA	2016	iOS	03-12-16 19:09	01-01-17 14:06	01-Jan-17	03-12-16 19:09	660	44	jimafun	iOS 8	11723	03-12-16 20:23	Saturday	216.6445553	6	6	1	6
2016	QY02HA	2016	iOS	20-12-16 6:45	17-01-16 1:15	17-Jan-16	20-12-16 6:45	4957	46	qctrnno	iOS 8	3173	20-12-16 6:48	Saturday	522.5969118	6	6	1	6
2016	QY02HA	2016	iOS	20-12-16 6:45	17-01-16 1:15	17-Jan-16	20-12-16 6:45	4957	55	qctrnno	iOS 8	3173	20-12-16 6:48	Saturday	522.5969118	6	6	1	6
2016	QY02HA	2016	iOS	03-12-16 19:09	01-01-17 14:06	01-Jan-17	03-12-16 19:09	660	59	jimafun	iOS 8	11723	03-12-16 20:23	Saturday	216.6445553	6	6	1	6
2016	QY02HA	2016	iOS	03-12-16 19:09	01-01-17 14:06	01-Jan-17	03-12-16 19:09	660	109	jimafun	iOS 8	11723	03-12-16 20:23	Saturday	216.6445553	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	15-01-17 0:33	15-Jan-17	30-05-14 5:57	1962	4	kxkhimm	iOS 8	12291	30-05-14 7:28	Saturday	1057.12732	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	15-01-17 0:33	15-Jan-17	30-05-14 5:57	1962	4	fnqruxf	iOS 8	12291	29-11-14 10:39	Saturday	1057.12732	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	15-01-17 0:33	15-Jan-17	30-05-14 5:57	1962	38	kxkhimm	iOS 8	12291	30-05-14 7:28	Saturday	1057.12732	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	15-01-17 0:33	15-Jan-17	30-05-14 5:57	1962	38	fnqruxf	iOS 8	12291	29-11-14 10:39	Saturday	1057.12732	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	17-01-16 13:28	17-Jan-16	30-05-14 5:57	1962	49	kxkhimm	iOS 8	3167	30-05-14 7:28	Saturday	189.0267398	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	17-01-16 13:28	17-Jan-16	30-05-14 5:57	1962	49	fnqruxf	iOS 8	3167	29-11-14 10:39	Saturday	189.0267398	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	09-08-15 13:00	09-Aug-15	30-05-14 5:57	1962	51	kxkhimm	iOS 8	1616	30-05-14 7:28	Saturday	1091.297471	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	09-08-15 13:00	09-Aug-15	30-05-14 5:57	1962	51	fnqruxf	iOS 8	1616	29-11-14 10:39	Saturday	1091.297471	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	51	kxkhimm	iOS 8	9499	30-05-14 7:28	Saturday	1085.993474	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	51	fnqruxf	iOS 8	9499	29-11-14 10:39	Saturday	1085.993474	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	25-10-15 18:23	25-Oct-15	05-03-15 9:21	4206	58	zhybqtz	iOS 8	2228	05-03-15 16:42	Saturday	1155.917638	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	17-01-16 13:28	17-Jan-16	30-05-14 5:57	1962	60	kxkhimm	iOS 8	3167	30-05-14 7:28	Saturday	189.0267398	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	17-01-16 13:28	17-Jan-16	30-05-14 5:57	1962	60	fnqruxf	iOS 8	3167	29-11-14 10:39	Saturday	189.0267398	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	25-10-15 18:23	25-Oct-15	05-03-15 9:21	4206	69	zhybqtz	iOS 8	2228	05-03-15 16:42	Saturday	1155.917638	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	76	kxkhimm	iOS 8	9499	30-05-14 7:28	Saturday	1085.993474	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	76	fnqruxf	iOS 8	9499	29-11-14 10:39	Saturday	1085.993474	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	09-08-15 13:00	09-Aug-15	30-05-14 5:57	1962	88	kxkhimm	iOS 8	1616	30-05-14 7:28	Saturday	1091.297471	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	09-08-15 13:00	09-Aug-15	30-05-14 5:57	1962	88	fnqruxf	iOS 8	1616	29-11-14 10:39	Saturday	1091.297471	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	98	kxkhimm	iOS 8	9499	30-05-14 7:28	Saturday	1085.993474	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	98	fnqruxf	iOS 8	9499	29-11-14 10:39	Saturday	1085.993474	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	99	kxkhimm	iOS 8	9499	30-05-14 7:28	Saturday	1085.993474	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	99	fnqruxf	iOS 8	9499	29-11-14 10:39	Saturday	1085.993474	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	101	kxkhimm	iOS 8	9499	30-05-14 7:28	Saturday	1085.993474	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	30-10-16 2:25	30-Oct-16	30-05-14 5:57	1962	101	fnqruxf	iOS 8	9499	29-11-14 10:39	Saturday	1085.993474	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	17-01-16 13:28	17-Jan-16	30-05-14 5:57	1962	110	kxkhimm	iOS 8	3167	30-05-14 7:28	Saturday	189.0267398	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	17-01-16 13:28	17-Jan-16	30-05-14 5:57	1962	110	fnqruxf	iOS 8	3167	29-11-14 10:39	Saturday	189.0267398	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	25-10-15 18:23	25-Oct-15	05-03-15 9:21	4206	119	zhybqtz	iOS 8	2228	05-03-15 16:42	Saturday	1155.917638	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	25-10-15 18:23	25-Oct-15	05-03-15 9:21	4206	120	zhybqtz	iOS 8	2228	05-03-15 16:42	Saturday	1155.917638	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	29-01-17 17:42	29-Jan-17	05-03-15 9:21	4206	127	lbehcyv	iOS 8	12855	23-08-15 13:39	Saturday	168.9775129	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	02-11-14 0:38	02-Nov-14	30-05-14 5:57	1962	128	kxkhimm	iOS 8	326	30-05-14 7:28	Saturday	1075.607336	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	02-11-14 0:38	02-Nov-14	30-05-14 5:57	1962	128	fnqruxf	iOS 8	326	29-11-14 10:39	Saturday	1075.607336	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	05-04-15 8:09	05-Apr-15	30-05-14 5:57	1962	134	kxkhimm	iOS 8	821	30-05-14 7:28	Saturday	1041.565275	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	05-04-15 8:09	05-Apr-15	30-05-14 5:57	1962	134	fnqruxf	iOS 8	821	29-11-14 10:39	Saturday	1041.565275	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	29-01-17 16:19	29-Jan-17	30-05-14 5:57	1962	135	kxkhimm	iOS 8	12838	30-05-14 7:28	Saturday	1067.950569	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	29-01-17 16:19	29-Jan-17	30-05-14 5:57	1962	135	fnqruxf	iOS 8	12838	29-11-14 10:39	Saturday	1067.950569	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	05-04-15 8:09	05-Apr-15	30-05-14 5:57	1962	138	kxkhimm	iOS 8	821	30-05-14 7:28	Saturday	1041.565275	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	05-04-15 8:09	05-Apr-15	30-05-14 5:57	1962	138	fnqruxf	iOS 8	821	29-11-14 10:39	Saturday	1041.565275	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	25-10-15 18:23	25-Oct-15	05-03-15 9:21	4206	142	zhybqtz	iOS 8	2228	05-03-15 16:42	Saturday	1155.917638	6	6	1	6
2015	ZDNTT7	2015	iOS	27-05-15 19:41	03-07-16 12:26	03-Jul-16	28-09-15 23:02	1111	143	cpyitcz	iOS 8	6242	29-09-15 7:24	Saturday	397.5047629	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	24-04-16 5:29	24-Apr-16	05-03-15 9:21	4206	144	lbehcyv	iOS 8	4745	23-08-15 13:39	Saturday	161.4648288	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	10-01-16 23:05	10-Jan-16	05-03-15 9:21	4206	147	lbehcyv	iOS 8	3087	23-08-15 13:39	Saturday	199.1779379	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	29-01-17 17:42	29-Jan-17	05-03-15 9:21	4206	148	lbehcyv	iOS 8	12855	23-08-15 13:39	Saturday	168.9775129	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	24-04-16 5:29	24-Apr-16	05-03-15 9:21	4206	155	lbehcyv	iOS 8	4745	23-08-15 13:39	Saturday	161.4648288	6	6	1	6
2015	ZDNTT7	2015	iOS	27-05-15 19:41	26-02-17 3:31	26-Feb-17	28-09-15 23:02	1111	160	cpyitcz	iOS 8	14014	29-09-15 7:24	Saturday	293.3819268	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	10-01-16 23:05	10-Jan-16	05-03-15 9:21	4206	170	lbehcyv	iOS 8	3087	23-08-15 13:39	Saturday	199.1779379	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	02-11-14 0:38	02-Nov-14	30-05-14 5:57	1962	171	kxkhimm	iOS 8	326	30-05-14 7:28	Saturday	1075.607336	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	02-11-14 0:38	02-Nov-14	30-05-14 5:57	1962	171	fnqruxf	iOS 8	326	29-11-14 10:39	Saturday	1075.607336	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	10-01-16 23:05	10-Jan-16	05-03-15 9:21	4206	182	lbehcyv	iOS 8	3087	23-08-15 13:39	Saturday	199.1779379	6	6	1	6
2015	ZDNTT7	2015	iOS	25-04-16 7:51	24-04-16 5:29	24-Apr-16	05-03-15 9:21	4206	189	lbehcyv	iOS 8	4745	23-08-15 13:39	Saturday	161.4648288	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	02-11-14 0:38	02-Nov-14	30-05-14 5:57	1962	192	kxkhimm	iOS 8	326	30-05-14 7:28	Saturday	1075.607336	6	6	1	6
2014	ZDNTT7	2014	iOS	30-05-14 5:57	02-11-14 0:38	02-Nov-14	30-05-14 5:57	1962	192	fnqruxf	iOS 8	326	29-11-14 10:39	Saturday	1075.607336	6	6	1	6
2017	XUL7TT	2017	ActivehoursOS	28-06-16 5:18	19-02-17 11:15	19-Feb-17	28-06-16 5:18	2799	15	jsqjfsp	BestOSEver!	13750	10-01-17 11:10	Saturday	315.383743	6	6	1	6
2017	XUL7TT	2017	ActivehoursOS	28-06-16 5:18	29-01-17 11:34	29-Jan-17	28-06-16 5:18	2799	19	jsqjfsp	BestOSEver!	12846	10-01-17 11:10	Saturday	321.9417524	6	6	1	6
2017	XUL7TT	2017	ActivehoursOS	28-06-16 5:18	29-01-17 11:34	29-Jan-17	28-06-16 5:18	2799	29	jsqjfsp	BestOSEver!	12846	10-01-17 11:10	Saturday	321.9417524	6	6	1	6
2016	6R883F	2016	Amazon Fire	19-02-14 3:51	28-11-16 21:04	28-Nov-16	25-08-16 5:07	4329	86	mycgrun	Fire1	10494	25-08-16 9:58	Sunday	439.570248	0	0	1	0
2016	6R883F	2016	Amazon Fire	19-02-14 3:51	28-11-16 21:04	28-Nov-16	25-08-16 5:07	4329	87	mycgrun	Fire1	10494	25-08-16 9:58	Sunday	439.570248	0	0	1	0
2016	6R883F	2016	Amazon Fire	19-02-14 3:51	06-02-17 10:39	06-Feb-17	25-08-16 5:07	4329	120	mycgrun	Fire1	13202	25-08-16 9:58	Sunday	441.5437816	0	0	1	0
2016	6R883F	2016	Amazon Fire	19-02-14 3:51	14-11-16 14:16	14-Nov-16	25-08-16 5:07	4329	139	mycgrun	Fire1	9998	25-08-16 9:58	Sunday	468.0878803	0	0	1	0
2016	6R883F	2016	Amazon Fire	19-02-14 3:51	14-11-16 14:16	14-Nov-16	25-08-16 5:07	4329	149	mycgrun	Fire1	9998	25-08-16 9:58	Sunday	468.0878803	0	0	1	0
2016	6R883F	2016	Amazon Fire	19-02-14 3:51	06-02-17 10:39	06-Feb-17	25-08-16 5:07	4329	165	mycgrun	Fire1	13202	25-08-16 9:58	Sunday	441.5437816	0	0	1	0
2016	6R883F	2016	Amazon Fire	19-02-14 3:51	06-02-17 10:39	06-Feb-17	25-08-16 5:07	4329	168	mycgrun	Fire1	13202	25-08-16 9:58	Sunday	441.5437816	0	0	1	0
2016	6R883F	2016	Amazon Fire	19-02-14 3:51	06-02-17 10:39	06-Feb-17	25-08-16 5:07	4329	176	mycgrun	Fire1	13202	25-08-16 9:58	Sunday	441.5437816	0	0	1	0
2014	D8IC8B	2014	Amazon Fire	08-10-13 11:56	23-02-15 23:17	23-Feb-15	03-11-14 5:10	692	81	qfxhitr	Fire1	678	03-11-14 14:02	Sunday	995.5640228	0	0	1	0
2014	D8IC8B	2014	Amazon Fire	08-10-13 11:56	01-08-16 14:43	01-Aug-16	03-11-14 5:10	692	91	qfxhitr	Fire1	6941	03-11-14 14:02	Sunday	1018.730057	0	0	1	0
