Campaign	Year of Date	Attribution Created On	Created On	Date	Device Created On	Device Id	Device Type	Item Id	Name	Operating System	Sale Id	User Created On	Weekday (group)	Amount	Max Of Weekday	Min of Weekday	Number of Records	Weekday
6JI9BO	2016	13-01-17 17:33	12-06-16 18:15	12-Jun-16	13-01-17 17:33	4575	iOS	84	sdfsqsk	iOS 8	5756	14-01-17 3:16	Saturday	502.4747753	6	6	1	6
6JI9BO	2016	13-01-17 17:33	12-06-16 18:15	12-Jun-16	13-01-17 17:33	4575	iOS	99	vqhzhka	iOS 8	5756	10-05-16 20:20	Saturday	502.4747753	6	6	1	6
6JI9BO	2016	13-01-17 17:33	12-06-16 18:15	12-Jun-16	13-01-17 17:33	4575	iOS	99	sdfsqsk	iOS 8	5756	14-01-17 3:16	Saturday	502.4747753	6	6	1	6
AEJF2Y	2016	15-09-15 14:00	03-07-16 12:26	03-Jul-16	28-09-15 23:02	1111	iOS	143	cpyitcz	iOS 8	6242	29-09-15 7:24	Saturday	397.5047629	6	6	1	6
AEJF2Y	2017	15-09-15 14:00	26-02-17 3:31	26-Feb-17	28-09-15 23:02	1111	iOS	160	cpyitcz	iOS 8	14014	29-09-15 7:24	Saturday	293.3819268	6	6	1	6
SE5X9U	2017	24-11-16 8:13	26-02-17 16:07	26-Feb-17	24-11-16 8:13	1861	iOS	1	uegmprw	iOS 8	14018	24-11-16 13:07	Saturday	791.7825091	6	6	1	6
SE5X9U	2017	24-11-16 8:13	26-02-17 16:07	26-Feb-17	24-11-16 8:13	1861	iOS	53	uegmprw	iOS 8	14018	24-11-16 13:07	Saturday	791.7825091	6	6	1	6
SE5X9U	2015	01-08-14 8:42	06-09-15 3:50	06-Sep-15	01-08-14 8:42	3286	iOS	64	uehjila	iOS 8	1834	01-08-14 12:10	Saturday	366.6515865	6	6	1	6
SE5X9U	2016	24-11-16 8:13	18-12-16 6:16	18-Dec-16	24-11-16 8:13	1861	iOS	80	uegmprw	iOS 8	11202	24-11-16 13:07	Saturday	1002.038025	6	6	1	6
SE5X9U	2016	24-11-16 8:13	18-12-16 6:16	18-Dec-16	24-11-16 8:13	1861	iOS	82	uegmprw	iOS 8	11202	24-11-16 13:07	Saturday	1002.038025	6	6	1	6
SE5X9U	2016	24-11-16 8:13	18-12-16 6:16	18-Dec-16	24-11-16 8:13	1861	iOS	91	uegmprw	iOS 8	11202	24-11-16 13:07	Saturday	1002.038025	6	6	1	6
SE5X9U	2015	01-08-14 8:42	06-09-15 3:50	06-Sep-15	01-08-14 8:42	3286	iOS	155	uehjila	iOS 8	1834	01-08-14 12:10	Saturday	366.6515865	6	6	1	6
TTFAQ5	2017	08-09-14 17:56	19-02-17 20:54	19-Feb-17	11-10-16 7:15	1052	iOS	8	xcxdqgm	iOS 8	13736	11-10-16 23:00	Saturday	553.7961486	6	6	1	6
TTFAQ5	2017	08-09-14 17:56	19-02-17 20:54	19-Feb-17	11-10-16 7:15	1052	iOS	41	xcxdqgm	iOS 8	13736	11-10-16 23:00	Saturday	553.7961486	6	6	1	6
VR88YD	2016	06-11-16 16:00	30-10-16 23:16	30-Oct-16	31-08-16 13:58	4682	iOS	14	ccpxwrw	iOS 8	9518	01-09-16 2:02	Saturday	106.5601593	6	6	1	6
VR88YD	2016	06-11-16 16:00	30-10-16 23:16	30-Oct-16	31-08-16 13:58	4682	iOS	17	ccpxwrw	iOS 8	9518	01-09-16 2:02	Saturday	106.5601593	6	6	1	6
VR88YD	2016	12-03-16 4:20	11-09-16 22:50	11-Sep-16	12-03-16 4:21	450	iOS	92	aigbiir	iOS 8	8019	12-03-16 16:41	Saturday	1013.441637	6	6	1	6
YUHQJ6	2016	28-09-15 23:02	03-07-16 12:26	03-Jul-16	28-09-15 23:02	1111	iOS	143	cpyitcz	iOS 8	6242	29-09-15 7:24	Saturday	397.5047629	6	6	1	6
YUHQJ6	2017	28-09-15 23:02	26-02-17 3:31	26-Feb-17	28-09-15 23:02	1111	iOS	160	cpyitcz	iOS 8	14014	29-09-15 7:24	Saturday	293.3819268	6	6	1	6
15R3D0	2016	25-04-15 9:04	18-12-16 1:56	18-Dec-16	25-04-15 9:04	2267	iOS	30	pyldepb	iOS 9	11207	25-04-15 18:12	Saturday	1123.106307	6	6	1	6
15R3D0	2016	25-04-15 9:04	18-12-16 1:56	18-Dec-16	25-04-15 9:04	2267	iOS	30	hedkjhe	iOS 9	11207	10-08-15 8:04	Saturday	1123.106307	6	6	1	6
15R3D0	2015	25-04-15 9:04	04-10-15 12:21	04-Oct-15	25-04-15 9:04	2267	iOS	41	pyldepb	iOS 9	2068	25-04-15 18:12	Saturday	1078.014238	6	6	1	6
15R3D0	2015	25-04-15 9:04	04-10-15 12:21	04-Oct-15	25-04-15 9:04	2267	iOS	41	hedkjhe	iOS 9	2068	10-08-15 8:04	Saturday	1078.014238	6	6	1	6
15R3D0	2015	25-04-15 9:04	04-10-15 12:21	04-Oct-15	25-04-15 9:04	2267	iOS	50	pyldepb	iOS 9	2068	25-04-15 18:12	Saturday	1078.014238	6	6	1	6
15R3D0	2015	25-04-15 9:04	04-10-15 12:21	04-Oct-15	25-04-15 9:04	2267	iOS	50	hedkjhe	iOS 9	2068	10-08-15 8:04	Saturday	1078.014238	6	6	1	6
15R3D0	2016	25-04-15 9:04	27-03-16 8:56	27-Mar-16	25-04-15 9:04	2267	iOS	65	pyldepb	iOS 9	4245	25-04-15 18:12	Saturday	986.6502616	6	6	1	6
15R3D0	2016	25-04-15 9:04	27-03-16 8:56	27-Mar-16	25-04-15 9:04	2267	iOS	65	hedkjhe	iOS 9	4245	10-08-15 8:04	Saturday	986.6502616	6	6	1	6
15R3D0	2016	25-04-15 9:04	27-03-16 8:56	27-Mar-16	25-04-15 9:04	2267	iOS	73	pyldepb	iOS 9	4245	25-04-15 18:12	Saturday	986.6502616	6	6	1	6
15R3D0	2016	25-04-15 9:04	27-03-16 8:56	27-Mar-16	25-04-15 9:04	2267	iOS	73	hedkjhe	iOS 9	4245	10-08-15 8:04	Saturday	986.6502616	6	6	1	6
15R3D0	2016	25-04-15 9:04	08-05-16 17:40	08-May-16	25-04-15 9:04	2267	iOS	119	pyldepb	iOS 9	5007	25-04-15 18:12	Saturday	1069.039257	6	6	1	6
15R3D0	2016	25-04-15 9:04	08-05-16 17:40	08-May-16	25-04-15 9:04	2267	iOS	119	hedkjhe	iOS 9	5007	10-08-15 8:04	Saturday	1069.039257	6	6	1	6
15R3D0	2017	25-04-15 9:04	08-01-17 7:53	08-Jan-17	25-04-15 9:04	2267	iOS	161	pyldepb	iOS 9	12015	25-04-15 18:12	Saturday	978.9838942	6	6	1	6
15R3D0	2017	25-04-15 9:04	08-01-17 7:53	08-Jan-17	25-04-15 9:04	2267	iOS	161	hedkjhe	iOS 9	12015	10-08-15 8:04	Saturday	978.9838942	6	6	1	6
15R3D0	2016	25-04-15 9:04	08-05-16 17:40	08-May-16	25-04-15 9:04	2267	iOS	164	pyldepb	iOS 9	5007	25-04-15 18:12	Saturday	1069.039257	6	6	1	6
15R3D0	2016	25-04-15 9:04	08-05-16 17:40	08-May-16	25-04-15 9:04	2267	iOS	164	hedkjhe	iOS 9	5007	10-08-15 8:04	Saturday	1069.039257	6	6	1	6
15R3D0	2016	25-04-15 9:04	08-05-16 17:40	08-May-16	25-04-15 9:04	2267	iOS	170	pyldepb	iOS 9	5007	25-04-15 18:12	Saturday	1069.039257	6	6	1	6
15R3D0	2016	25-04-15 9:04	08-05-16 17:40	08-May-16	25-04-15 9:04	2267	iOS	170	hedkjhe	iOS 9	5007	10-08-15 8:04	Saturday	1069.039257	6	6	1	6
15R3D0	2016	25-04-15 9:04	22-05-16 4:26	22-May-16	25-04-15 9:04	2267	iOS	177	pyldepb	iOS 9	5274	25-04-15 18:12	Saturday	1043.747451	6	6	1	6
15R3D0	2016	25-04-15 9:04	22-05-16 4:26	22-May-16	25-04-15 9:04	2267	iOS	177	hedkjhe	iOS 9	5274	10-08-15 8:04	Saturday	1043.747451	6	6	1	6
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	18	ovgptjx	BestOSEver!	6766	15-11-14 13:36	Sunday	968.0234214	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	18	bkginvk	BestOSEver!	6766	14-02-16 16:37	Sunday	968.0234214	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	22	ovgptjx	BestOSEver!	6766	15-11-14 13:36	Sunday	968.0234214	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	22	bkginvk	BestOSEver!	6766	14-02-16 16:37	Sunday	968.0234214	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	35	ovgptjx	BestOSEver!	6766	15-11-14 13:36	Sunday	968.0234214	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	35	ovgptjx	BestOSEver!	6766	15-11-14 13:36	Sunday	968.0234214	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	35	bkginvk	BestOSEver!	6766	14-02-16 16:37	Sunday	968.0234214	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	35	bkginvk	BestOSEver!	6766	14-02-16 16:37	Sunday	968.0234214	0	0	1	0
AEJF2Y	2015	14-02-16 1:40	23-11-15 3:46	23-Nov-15	14-02-16 1:40	768	ActivehoursOS	40	ovgptjx	BestOSEver!	2521	15-11-14 13:36	Sunday	870.2766017	0	0	1	0
AEJF2Y	2015	14-02-16 1:40	23-11-15 3:46	23-Nov-15	14-02-16 1:40	768	ActivehoursOS	40	bkginvk	BestOSEver!	2521	14-02-16 16:37	Sunday	870.2766017	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	45	ovgptjx	BestOSEver!	6766	15-11-14 13:36	Sunday	968.0234214	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	25-07-16 14:01	25-Jul-16	14-02-16 1:40	768	ActivehoursOS	45	bkginvk	BestOSEver!	6766	14-02-16 16:37	Sunday	968.0234214	0	0	1	0
AEJF2Y	2015	14-02-16 1:40	23-11-15 3:46	23-Nov-15	14-02-16 1:40	768	ActivehoursOS	57	ovgptjx	BestOSEver!	2521	15-11-14 13:36	Sunday	870.2766017	0	0	1	0
AEJF2Y	2015	14-02-16 1:40	23-11-15 3:46	23-Nov-15	14-02-16 1:40	768	ActivehoursOS	57	bkginvk	BestOSEver!	2521	14-02-16 16:37	Sunday	870.2766017	0	0	1	0
AEJF2Y	2015	14-02-16 1:40	23-11-15 3:46	23-Nov-15	14-02-16 1:40	768	ActivehoursOS	140	ovgptjx	BestOSEver!	2521	15-11-14 13:36	Sunday	870.2766017	0	0	1	0
AEJF2Y	2015	14-02-16 1:40	23-11-15 3:46	23-Nov-15	14-02-16 1:40	768	ActivehoursOS	140	bkginvk	BestOSEver!	2521	14-02-16 16:37	Sunday	870.2766017	0	0	1	0
VR88YD	2015	05-02-14 14:42	22-06-15 2:54	22-Jun-15	07-05-15 15:55	4289	ActivehoursOS	95	taqrmtw	BestOSEver!	1281	08-05-15 0:27	Sunday	767.1192768	0	0	1	0
VR88YD	2016	05-02-14 14:42	05-12-16 3:06	05-Dec-16	07-05-15 15:55	4289	ActivehoursOS	100	taqrmtw	BestOSEver!	10730	08-05-15 0:27	Sunday	861.6124304	0	0	1	0
VR88YD	2016	05-02-14 14:42	05-12-16 3:06	05-Dec-16	07-05-15 15:55	4289	ActivehoursOS	109	taqrmtw	BestOSEver!	10730	08-05-15 0:27	Sunday	861.6124304	0	0	1	0
AEJF2Y	2016	14-02-16 1:40	07-09-16 2:44	07-Sep-16	14-02-16 1:40	768	ActivehoursOS	143	ovgptjx	BestOSEver!	7894	15-11-14 13:36	Tuesday	730.2452787	2	2	1	2
AEJF2Y	2016	14-02-16 1:40	07-09-16 2:44	07-Sep-16	14-02-16 1:40	768	ActivehoursOS	143	bkginvk	BestOSEver!	7894	14-02-16 16:37	Tuesday	730.2452787	2	2	1	2
AEJF2Y	2016	14-02-16 1:40	07-09-16 2:44	07-Sep-16	14-02-16 1:40	768	ActivehoursOS	144	ovgptjx	BestOSEver!	7894	15-11-14 13:36	Tuesday	730.2452787	2	2	1	2
AEJF2Y	2016	14-02-16 1:40	07-09-16 2:44	07-Sep-16	14-02-16 1:40	768	ActivehoursOS	144	bkginvk	BestOSEver!	7894	14-02-16 16:37	Tuesday	730.2452787	2	2	1	2
VR88YD	2016	05-02-14 14:42	13-04-16 8:42	13-Apr-16	07-05-15 15:55	4289	ActivehoursOS	39	taqrmtw	BestOSEver!	4557	08-05-15 0:27	Tuesday	609.2121147	2	2	1	2
VR88YD	2016	05-02-14 14:42	13-04-16 8:42	13-Apr-16	07-05-15 15:55	4289	ActivehoursOS	60	taqrmtw	BestOSEver!	4557	08-05-15 0:27	Tuesday	609.2121147	2	2	1	2
VR88YD	2016	05-02-14 14:42	13-04-16 8:42	13-Apr-16	07-05-15 15:55	4289	ActivehoursOS	78	taqrmtw	BestOSEver!	4557	08-05-15 0:27	Tuesday	609.2121147	2	2	1	2
VR88YD	2015	05-02-14 14:42	22-07-15 13:53	22-Jul-15	07-05-15 15:55	4289	ActivehoursOS	148	taqrmtw	BestOSEver!	1487	08-05-15 0:27	Tuesday	706.4097984	2	2	1	2
VR88YD	2015	05-02-14 14:42	22-07-15 13:53	22-Jul-15	07-05-15 15:55	4289	ActivehoursOS	159	taqrmtw	BestOSEver!	1487	08-05-15 0:27	Tuesday	706.4097984	2	2	1	2
VR88YD	2016	05-02-14 14:42	12-10-16 11:31	12-Oct-16	07-05-15 15:55	4289	ActivehoursOS	164	taqrmtw	BestOSEver!	8927	08-05-15 0:27	Tuesday	651.8881534	2	2	1	2
VR88YD	2015	05-02-14 14:42	22-07-15 13:53	22-Jul-15	07-05-15 15:55	4289	ActivehoursOS	165	taqrmtw	BestOSEver!	1487	08-05-15 0:27	Tuesday	706.4097984	2	2	1	2
VR88YD	2015	05-02-14 14:42	22-07-15 13:53	22-Jul-15	07-05-15 15:55	4289	ActivehoursOS	180	taqrmtw	BestOSEver!	1487	08-05-15 0:27	Tuesday	706.4097984	2	2	1	2
VR88YD	2015	05-02-14 14:42	22-07-15 13:53	22-Jul-15	07-05-15 15:55	4289	ActivehoursOS	186	taqrmtw	BestOSEver!	1487	08-05-15 0:27	Tuesday	706.4097984	2	2	1	2
VR88YD	2015	05-02-14 14:42	22-07-15 13:53	22-Jul-15	07-05-15 15:55	4289	ActivehoursOS	188	taqrmtw	BestOSEver!	1487	08-05-15 0:27	Tuesday	706.4097984	2	2	1	2
VR88YD	2015	05-02-14 14:42	22-07-15 13:53	22-Jul-15	07-05-15 15:55	4289	ActivehoursOS	199	taqrmtw	BestOSEver!	1487	08-05-15 0:27	Tuesday	706.4097984	2	2	1	2
VR88YD	2016	05-02-14 14:42	29-09-16 19:15	29-Sep-16	07-05-15 15:55	4289	ActivehoursOS	22	taqrmtw	BestOSEver!	8558	08-05-15 0:27	Wednesday	500.4186562	3	3	1	3
VR88YD	2016	05-02-14 14:42	29-09-16 19:15	29-Sep-16	07-05-15 15:55	4289	ActivehoursOS	36	taqrmtw	BestOSEver!	8558	08-05-15 0:27	Wednesday	500.4186562	3	3	1	3
VR88YD	2016	05-02-14 14:42	29-09-16 19:15	29-Sep-16	07-05-15 15:55	4289	ActivehoursOS	36	taqrmtw	BestOSEver!	8558	08-05-15 0:27	Wednesday	500.4186562	3	3	1	3
VR88YD	2016	05-02-14 14:42	29-09-16 19:15	29-Sep-16	07-05-15 15:55	4289	ActivehoursOS	72	taqrmtw	BestOSEver!	8558	08-05-15 0:27	Wednesday	500.4186562	3	3	1	3
VR88YD	2016	05-02-14 14:42	04-08-16 1:10	04-Aug-16	07-05-15 15:55	4289	ActivehoursOS	102	taqrmtw	BestOSEver!	7031	08-05-15 0:27	Wednesday	640.7853743	3	3	1	3
AEJF2Y	2016	14-02-16 1:40	08-07-16 6:14	08-Jul-16	14-02-16 1:40	768	ActivehoursOS	97	ovgptjx	BestOSEver!	6359	15-11-14 13:36	Thursday	1332.122188	4	4	1	4
AEJF2Y	2016	14-02-16 1:40	08-07-16 6:14	08-Jul-16	14-02-16 1:40	768	ActivehoursOS	97	bkginvk	BestOSEver!	6359	14-02-16 16:37	Thursday	1332.122188	4	4	1	4
AEJF2Y	2016	14-02-16 1:40	08-07-16 6:14	08-Jul-16	14-02-16 1:40	768	ActivehoursOS	144	ovgptjx	BestOSEver!	6359	15-11-14 13:36	Thursday	1332.122188	4	4	1	4
AEJF2Y	2016	14-02-16 1:40	08-07-16 6:14	08-Jul-16	14-02-16 1:40	768	ActivehoursOS	144	bkginvk	BestOSEver!	6359	14-02-16 16:37	Thursday	1332.122188	4	4	1	4
6JI9BO	2017	27-06-15 11:31	23-01-17 7:09	23-Jan-17	06-02-16 8:32	4940	Amazon Fire	88	iblptas	Fire1	12633	07-02-16 1:06	Sunday	144.0989467	0	0	1	0
6JI9BO	2017	27-06-15 11:31	23-01-17 7:09	23-Jan-17	06-02-16 8:32	4940	Amazon Fire	108	iblptas	Fire1	12633	07-02-16 1:06	Sunday	144.0989467	0	0	1	0
6JI9BO	2016	11-03-16 18:50	05-09-16 0:08	05-Sep-16	11-03-16 18:51	688	Amazon Fire	46	obqeswe	Fire2	7841	12-03-16 4:21	Sunday	211.0829141	0	0	1	0
6JI9BO	2016	11-03-16 18:50	05-09-16 0:08	05-Sep-16	11-03-16 18:51	688	Amazon Fire	59	obqeswe	Fire2	7841	12-03-16 4:21	Sunday	211.0829141	0	0	1	0
6JI9BO	2016	11-03-16 18:50	11-07-16 21:11	11-Jul-16	11-03-16 18:51	688	Amazon Fire	64	obqeswe	Fire2	6442	12-03-16 4:21	Sunday	275.136552	0	0	1	0
6JI9BO	2016	11-03-16 18:50	05-09-16 0:08	05-Sep-16	11-03-16 18:51	688	Amazon Fire	74	obqeswe	Fire2	7841	12-03-16 4:21	Sunday	211.0829141	0	0	1	0
AEJF2Y	2016	18-02-14 21:17	27-06-16 4:05	27-Jun-16	18-02-14 21:17	898	Amazon Fire	15	hyrpdtq	Fire2	6101	19-02-14 3:34	Sunday	921.0882917	0	0	1	0
AEJF2Y	2016	18-02-14 21:17	27-06-16 4:05	27-Jun-16	18-02-14 21:17	898	Amazon Fire	30	hyrpdtq	Fire2	6101	19-02-14 3:34	Sunday	921.0882917	0	0	1	0
AEJF2Y	2014	18-02-14 21:17	28-04-14 16:23	28-Apr-14	18-02-14 21:17	898	Amazon Fire	32	hyrpdtq	Fire2	75	19-02-14 3:34	Sunday	951.7555171	0	0	1	0
AEJF2Y	2014	18-02-14 21:17	28-04-14 16:23	28-Apr-14	18-02-14 21:17	898	Amazon Fire	65	hyrpdtq	Fire2	75	19-02-14 3:34	Sunday	951.7555171	0	0	1	0
AEJF2Y	2014	18-02-14 21:17	28-04-14 16:23	28-Apr-14	18-02-14 21:17	898	Amazon Fire	75	hyrpdtq	Fire2	75	19-02-14 3:34	Sunday	951.7555171	0	0	1	0
AEJF2Y	2014	18-02-14 21:17	28-04-14 16:23	28-Apr-14	18-02-14 21:17	898	Amazon Fire	81	hyrpdtq	Fire2	75	19-02-14 3:34	Sunday	951.7555171	0	0	1	0
AEJF2Y	2014	18-02-14 21:17	28-04-14 16:23	28-Apr-14	18-02-14 21:17	898	Amazon Fire	83	hyrpdtq	Fire2	75	19-02-14 3:34	Sunday	951.7555171	0	0	1	0
AEJF2Y	2014	18-02-14 21:17	28-04-14 16:23	28-Apr-14	18-02-14 21:17	898	Amazon Fire	91	hyrpdtq	Fire2	75	19-02-14 3:34	Sunday	951.7555171	0	0	1	0
AEJF2Y	2014	18-02-14 21:17	28-04-14 16:23	28-Apr-14	18-02-14 21:17	898	Amazon Fire	114	hyrpdtq	Fire2	75	19-02-14 3:34	Sunday	951.7555171	0	0	1	0
SE5X9U	2016	16-10-15 18:07	31-10-16 18:55	31-Oct-16	28-08-16 16:02	1761	Amazon Fire	26	mqxijbk	Fire2	9538	29-08-16 3:25	Sunday	324.0627468	0	0	1	0
SE5X9U	2016	16-10-15 18:07	31-10-16 18:55	31-Oct-16	28-08-16 16:02	1761	Amazon Fire	46	mqxijbk	Fire2	9538	29-08-16 3:25	Sunday	324.0627468	0	0	1	0
TTFAQ5	2016	08-06-14 5:34	20-06-16 15:58	20-Jun-16	18-12-15 1:36	2844	Amazon Fire	92	klghpgt	Fire2	5941	18-12-15 17:27	Sunday	1401.507136	0	0	1	0
VR88YD	2016	13-11-14 6:34	19-09-16 10:03	19-Sep-16	13-11-14 6:34	3295	Amazon Fire	39	izphfje	Fire2	8256	13-11-14 12:37	Sunday	450.2568455	0	0	1	0
VR88YD	2016	13-11-14 6:34	19-09-16 10:03	19-Sep-16	13-11-14 6:34	3295	Amazon Fire	47	izphfje	Fire2	8256	13-11-14 12:37	Sunday	450.2568455	0	0	1	0
YUHQJ6	2017	16-11-15 4:01	20-02-17 19:49	20-Feb-17	16-11-15 4:01	1501	Amazon Fire	13	xumnnco	Fire2	13783	16-11-15 6:02	Sunday	1560.78107	0	0	1	0
YUHQJ6	2017	16-11-15 4:01	20-02-17 19:49	20-Feb-17	16-11-15 4:01	1501	Amazon Fire	13	sytpefv	Fire2	13783	24-02-16 7:41	Sunday	1560.78107	0	0	1	0
YUHQJ6	2015	16-11-15 4:01	30-11-15 0:48	30-Nov-15	16-11-15 4:01	1501	Amazon Fire	23	xumnnco	Fire2	2591	16-11-15 6:02	Sunday	1546.989014	0	0	1	0
YUHQJ6	2015	16-11-15 4:01	30-11-15 0:48	30-Nov-15	16-11-15 4:01	1501	Amazon Fire	23	sytpefv	Fire2	2591	24-02-16 7:41	Sunday	1546.989014	0	0	1	0
YUHQJ6	2017	16-11-15 4:01	20-02-17 19:49	20-Feb-17	16-11-15 4:01	1501	Amazon Fire	26	xumnnco	Fire2	13783	16-11-15 6:02	Sunday	1560.78107	0	0	1	0
YUHQJ6	2017	16-11-15 4:01	20-02-17 19:49	20-Feb-17	16-11-15 4:01	1501	Amazon Fire	26	sytpefv	Fire2	13783	24-02-16 7:41	Sunday	1560.78107	0	0	1	0
YUHQJ6	2015	16-11-15 4:01	30-11-15 0:48	30-Nov-15	16-11-15 4:01	1501	Amazon Fire	41	xumnnco	Fire2	2591	16-11-15 6:02	Sunday	1546.989014	0	0	1	0
YUHQJ6	2015	16-11-15 4:01	30-11-15 0:48	30-Nov-15	16-11-15 4:01	1501	Amazon Fire	41	sytpefv	Fire2	2591	24-02-16 7:41	Sunday	1546.989014	0	0	1	0
YUHQJ6	2016	16-11-15 4:01	30-05-16 8:48	30-May-16	16-11-15 4:01	1501	Amazon Fire	41	xumnnco	Fire2	5439	16-11-15 6:02	Sunday	223.6058867	0	0	1	0
YUHQJ6	2016	16-11-15 4:01	30-05-16 8:48	30-May-16	16-11-15 4:01	1501	Amazon Fire	41	sytpefv	Fire2	5439	24-02-16 7:41	Sunday	223.6058867	0	0	1	0
YUHQJ6	2016	16-11-15 4:01	30-05-16 8:48	30-May-16	16-11-15 4:01	1501	Amazon Fire	43	xumnnco	Fire2	5439	16-11-15 6:02	Sunday	223.6058867	0	0	1	0
YUHQJ6	2016	16-11-15 4:01	30-05-16 8:48	30-May-16	16-11-15 4:01	1501	Amazon Fire	43	xumnnco	Fire2	5439	16-11-15 6:02	Sunday	223.6058867	0	0	1	0
YUHQJ6	2016	16-11-15 4:01	30-05-16 8:48	30-May-16	16-11-15 4:01	1501	Amazon Fire	43	sytpefv	Fire2	5439	24-02-16 7:41	Sunday	223.6058867	0	0	1	0
YUHQJ6	2016	16-11-15 4:01	30-05-16 8:48	30-May-16	16-11-15 4:01	1501	Amazon Fire	43	sytpefv	Fire2	5439	24-02-16 7:41	Sunday	223.6058867	0	0	1	0
YUHQJ6	2015	16-11-15 4:01	30-11-15 0:48	30-Nov-15	16-11-15 4:01	1501	Amazon Fire	96	xumnnco	Fire2	2591	16-11-15 6:02	Sunday	1546.989014	0	0	1	0
YUHQJ6	2015	16-11-15 4:01	30-11-15 0:48	30-Nov-15	16-11-15 4:01	1501	Amazon Fire	96	sytpefv	Fire2	2591	24-02-16 7:41	Sunday	1546.989014	0	0	1	0
ZBW0OM	2016	28-02-16 1:40	02-05-16 8:25	02-May-16	28-02-16 1:41	1718	Amazon Fire	93	twlpwbg	Fire2	4890	28-02-16 13:47	Sunday	1466.13748	0	0	1	0
ZBW0OM	2016	28-02-16 1:40	02-05-16 8:25	02-May-16	28-02-16 1:41	1718	Amazon Fire	95	twlpwbg	Fire2	4890	28-02-16 13:47	Sunday	1466.13748	0	0	1	0
